,Name,Latitude,Longitude,Rating,Address
112,Kriser's Natural Pet,33.866307,-118.3938349,4.6,"1559 Pacific Coast Hwy, Hermosa Beach"
113,Propes Labrador Retrievers,40.2326205,-100.8271621,4.0,"1401 Arizona St, Culbertson"
114,Propes Labrador Retrievers,40.2326205,-100.8271621,4.0,"1401 Arizona St, Culbertson"
115,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar"
116,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne"
117,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
118,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
119,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
120,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest"
121,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
122,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
123,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
124,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach"
125,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove"
126,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
127,Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills"
128,Kahoots Feed & Pet Store,33.8820704,-117.3686806,4.5,"16851 Van Buren Boulevard, Riverside"
129,Kahoots Feed & Pet Store,33.9380668,-117.5437274,4.7,"1004 Sixth St, Norco"
130,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano"
131,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
132,Dog Lovers,33.9907419,-118.3305499,3.8,"5700 Crenshaw Blvd, Los Angeles"
133,The Urban Pet,34.0763114,-118.3538996,4.7,"7515 Beverly Blvd, Los Angeles"
134,Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach"
135,Paw In Order,33.8021939,-117.8590025,4.9,"618 W Collins Ave, Orange"
136,PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach"
137,Pinnacle Pet Services,34.1170015,-118.1506226,0.0,"721 Fair Oaks Ave, South Pasadena"
138,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
139,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
140,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
141,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
142,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
143,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne"
144,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar"
145,Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco"
146,Vetco,34.0525678,-118.384269,3.0,"1475 S Robertson Blvd, Los Angeles"
147,"Pets R Us, Pet Grooming & Supplies",34.1604446,-118.2743521,3.5,"838 W Glenoaks Blvd, Glendale"
148,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne"
149,S F Pet Shop & Grooming,34.079626,-118.092806,0.0,"600 E Valley Blvd, San Gabriel"
150,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
151,Peek-A-Dog Pet Grooming Adoptions,33.9591913,-118.2113411,4.4,"8452 State St, South Gate"
152,Armando's Pets & Grooming,34.1400274,-117.9582202,4.5,"2155 E Huntington Dr, Duarte"
153,MG Planet Pet Grooming,33.9909164,-117.8899766,4.6,"1457 Nogales St, Rowland Heights"
154,Mike's Pet Store and pet grooming,33.974553,-118.2532615,3.7,"1224 Florence St, Los Angeles"
155,Pets & Grooming,33.9532045,-118.130807,4.5,"7952 Florence Ave, Downey"
156,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine"
157,Birdhouse/Doghouse,34.1751286,-118.3806228,4.4,"5742 Lankershim Blvd, North Hollywood"
158,Button Nose Pet Shop,34.2028308,-118.1972586,4.9,"838 Foothill Blvd, La Cañada Flintridge"
159,Andy's Pet Grooming & Supplies,34.142812,-118.249771,4.4,"503 E Colorado St, Glendale"
160,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
161,Pussy & Pooch Pethouse and Pawbar,33.761255,-118.1376665,4.2,"4818 E 2nd St, Long Beach"
162,Local Pet Market,33.687393,-117.988492,4.9,"18900 Beach Blvd #109, Huntington Beach"
163,MY MASTER'S BEST FRIEND-Pet Food&Supply Delivery-Downey Long Beach Santa Monica Los Angeles Near Me,33.952306,-118.344688,4.5,"4118, 903 S Prairie Ave ste 903, Inglewood"
164,PJ's Pet Cafe,33.775092,-118.1520865,4.0,"3412 E 7th St Suite A, Long Beach"
165,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
166,Just Food For Dogs,33.8902107,-118.3963081,4.7,"1605 N Sepulveda Blvd, Manhattan Beach"
167,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
168,Just Food For Dogs,33.635517,-117.9233335,4.7,"103 E 17th St, Costa Mesa"
169,Kriser's Natural Pet,33.866307,-118.3938349,4.6,"1559 Pacific Coast Hwy, Hermosa Beach"
170,Pet Mart,33.8635117,-118.3888634,4.4,"1054 Aviation Blvd, Hermosa Beach"
171,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach"
172,AGE OF AQUARIUMS,33.8051375,-118.1672737,4.5,"2642 Cherry Ave, Signal Hill"
173,Pet Supply,33.65131,-117.9549833,4.8,"21425 Brookhurst St, Huntington Beach"
174,Pet Supreme,34.29287000000001,-118.413954,4.5,"12823 Foothill Blvd, Sylmar"
175,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne"
176,Petco,34.16462980000001,-118.5227222,4.3,"17919 Ventura Blvd, Encino"
177,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
178,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
179,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
180,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest"
181,Green Dog Dental & Wellness,34.1489587,-118.4357809,4.7,"13907 Ventura Blvd #101, Sherman Oaks"
182,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
183,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
184,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach"
185,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove"
186,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
187,Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills"
